OID,version,date,fhir_status,year
2.16.840.1.113883.1.11.10267,20240605,2026-04-09T14:51:35-04:00,active,2024
2.16.840.1.113883.1.11.10612,20190308,2026-01-06T12:39:19-05:00,active,2019
2.16.840.1.113883.1.11.14914,20190522,2026-04-29T15:55:41-04:00,retired,2019
2.16.840.1.113883.1.11.14914,20240606,2026-04-29T15:55:41-04:00,active,2024
2.16.840.1.113883.11.20.9.52,20200612,2026-04-28T15:43:59-04:00,retired,2020
2.16.840.1.113883.11.20.9.52,20230715,2026-04-28T15:43:59-04:00,retired,2023
2.16.840.1.113883.11.20.9.52,20241017,2026-04-28T15:43:59-04:00,active,2024
2.16.840.1.113883.11.20.9.69.4,20180119,2026-04-10T15:14:13-04:00,retired,2018
2.16.840.1.113883.11.20.9.69.4,20200604,2026-04-10T15:14:13-04:00,retired,2020
2.16.840.1.113883.11.20.9.69.4,20221001,2026-04-10T15:14:13-04:00,retired,2022
2.16.840.1.113883.11.20.9.69.4,20230627,2026-04-10T15:14:13-04:00,retired,2023
2.16.840.1.113883.11.20.9.69.4,20240217,2026-04-10T15:14:13-04:00,retired,2024
2.16.840.1.113883.11.20.9.69.4,20240712,2026-04-10T15:14:13-04:00,retired,2024
2.16.840.1.113883.11.20.9.69.4,20250319,2026-04-10T15:14:13-04:00,retired,2025
2.16.840.1.113883.11.20.9.69.4,20250402,2026-04-10T15:14:13-04:00,active,2025
2.16.840.1.113883.3.88.12.3221.8.7,20161010,2026-04-02T14:03:41-04:00,retired,2016
2.16.840.1.113883.3.88.12.3221.8.7,20180516,2026-04-02T14:03:41-04:00,retired,2018
2.16.840.1.113883.3.88.12.3221.8.7,20240606,2026-04-02T14:03:41-04:00,retired,2024
2.16.840.1.113883.3.88.12.3221.8.7,20240716,2026-04-02T14:03:41-04:00,active,2024
2.16.840.1.113883.3.88.12.80.17,20190423,2026-05-14T18:25:52-04:00,retired,2019
2.16.840.1.113883.3.88.12.80.17,20240606,2026-05-14T18:25:52-04:00,retired,2024
2.16.840.1.113883.3.88.12.80.17,20240627,2026-05-14T18:25:52-04:00,active,2024
2.16.840.1.113883.3.88.12.80.62,20150424,2026-04-21T19:18:43-04:00,retired,2015
2.16.840.1.113883.3.88.12.80.62,20170915,2026-04-21T19:18:43-04:00,retired,2017
2.16.840.1.113883.3.88.12.80.62,20170922,2026-04-21T19:18:43-04:00,retired,2017
2.16.840.1.113883.3.88.12.80.62,20181103,2026-04-21T19:18:43-04:00,retired,2018
2.16.840.1.113883.3.88.12.80.62,20190521,2026-04-21T19:18:43-04:00,retired,2019
2.16.840.1.113883.3.88.12.80.62,20200605,2026-04-21T19:18:43-04:00,retired,2020
2.16.840.1.113883.3.88.12.80.62,20210630,2026-04-21T19:18:43-04:00,retired,2021
2.16.840.1.113883.3.88.12.80.62,20231128,2026-04-21T19:18:43-04:00,retired,2023
2.16.840.1.113883.3.88.12.80.62,20240322,2026-04-21T19:18:43-04:00,retired,2024
2.16.840.1.113883.3.88.12.80.62,20251202,2026-04-21T19:18:43-04:00,active,2025
2.16.840.1.113883.4.642.2.575,20250419,2025-10-22T14:02:58-04:00,active,2025
2.16.840.1.113883.4.642.40.2.48.1,20250419,2026-04-13T20:09:25-04:00,active,2025
2.16.840.1.113883.4.642.40.2.48.3,20250418,2026-04-28T16:09:55-04:00,retired,2025
2.16.840.1.113883.4.642.40.2.48.3,20250419,2026-04-28T16:09:55-04:00,active,2025
2.16.840.1.114222.4.11.1066,20190521,2026-04-28T17:37:58-04:00,retired,2019
2.16.840.1.114222.4.11.1066,20240606,2026-04-28T17:37:58-04:00,active,2024
2.16.840.1.114222.4.11.3591,20221118,2026-04-29T14:03:44-04:00,retired,2022
2.16.840.1.114222.4.11.3591,20250419,2026-04-29T14:03:44-04:00,active,2025
2.16.840.1.114222.4.11.836,20121025,2025-05-05T16:19:50-04:00,active,2012
2.16.840.1.114222.4.11.837,20121025,2025-05-05T16:20:33-04:00,active,2012
2.16.840.1.114222.4.11.877,20190518,2026-04-13T20:10:21-04:00,retired,2019
2.16.840.1.114222.4.11.877,20240606,2026-04-13T20:10:21-04:00,retired,2024
2.16.840.1.114222.4.11.877,20251123,2026-04-13T20:10:21-04:00,retired,2025
2.16.840.1.114222.4.11.877,20260410,2026-04-13T20:10:21-04:00,active,2026
